Station ID,Average Rating,Average Distance
hub_1042,3.4,0.6204501086284764
hub_1063,3.55,0.419448918358236
hub_1252,3.0,0.7864768217914786
hub_1253,3.75,0.749957587260665
hub_1287,4.05,0.3711589605851004
hub_1397,3.7,0.1961048033324302
hub_1468,3.4,0.4906324425773413
hub_2570,3.9,0.7634946009558893
hub_2868,3.95,0.2167704216881461
hub_2869,2.55,0.7026717716464318
hub_2915,3.75,0.7074928831357842
hub_2916,3.75,0.4236907195422825
hub_2917,3.65,0.4946773357825832
hub_2918,3.35,0.5983366059963355
hub_2919,3.2,0.4968035946543875
hub_2920,3.7,0.487665014941205
hub_2921,3.65,0.6857157551388562
hub_2922,3.65,0.7298335217971685
hub_2923,3.55,0.7942716908485838
hub_2924,3.45,0.6932645908526047
hub_2925,4.3,0.5465961930509502
hub_2926,3.55,0.5805203582754436
hub_3885,3.55,0.0693743566653188
hub_4093,4.1,0.1623549017401445
hub_435,3.1,0.2205261261636982
hub_436,3.9,0.2101179391668937
hub_527,3.9,0.3665976393592551
hub_530,2.55,0.541846412290625
hub_5333,3.6,0.5671963090734801
hub_535,2.35,0.8389253189664257
hub_536,2.55,0.0802073358031701
hub_537,2.8,0.6561006015968653
hub_538,3.0,0.2984140067956559
hub_539,3.25,0.8826592091230805
hub_540,3.3,0.6627031250698545
hub_5402,4.4,0.4392390301997109
hub_541,4.2,0.6448444127054149
hub_542,4.3,0.6177185431693445
hub_5426,4.25,0.7126187733582003
hub_543,4.2,0.6675414912336527
hub_544,3.65,0.4381841759236925
hub_545,2.95,0.5694196711546405
hub_546,3.0,0.5456514465479247
hub_547,3.8,0.2969164003810247
hub_548,2.95,0.532950219846011
hub_549,4.25,0.5870361642477592
hub_550,3.75,0.6356721942139025
hub_551,3.5,0.6860776297337843
hub_553,3.35,0.5043938448280573
hub_554,2.8,0.7102393796936329
hub_555,3.15,0.7621900694437714
hub_556,3.75,0.7102089383465701
hub_557,3.85,0.3776660481164177
hub_558,3.8,0.5231999372492874
hub_559,2.95,0.8134835758245632
hub_560,2.85,0.8217027165717674
hub_562,3.85,0.7393356584170355
hub_563,4.05,0.533596209128783
hub_564,3.55,0.5130195472299913
hub_565,3.8,0.757991605354896
hub_566,3.7,0.7252786462455607
hub_567,3.8,0.7025697419010507
hub_568,4.0,0.5190501649054579
hub_569,3.45,0.3098719760651564
hub_570,3.5,0.3241249259488065
hub_5702,3.85,0.7934882632610533
hub_571,3.55,0.560781538910384
hub_572,3.75,0.5636094582530772
hub_573,3.75,0.3562461844229013
hub_574,4.05,0.4615085861529559
hub_575,3.45,0.3012116335189965
hub_576,3.05,0.2357094511101204
hub_577,3.6,0.4722306287454364
hub_578,3.75,0.6275981483246001
hub_579,3.8,0.8241537001639142
hub_5790,3.75,0.5184274180067219
hub_580,3.1,0.7847409817500489
hub_581,3.6,0.5819423453576297
hub_582,3.8,0.7108446326503722
hub_5827,2.95,0.2143283120564481
hub_583,3.7,0.4436151671133642
hub_5836,3.75,0.5680168009794195
hub_5837,3.5,0.6485356348513256
hub_5838,3.45,0.6198443887946452
hub_5845,2.6,0.2257203643528041
hub_5846,3.8,0.573819676147877
hub_585,3.6,0.4711889433556249
hub_586,3.75,0.3130456258200822
hub_587,2.8,0.2960505195744828
hub_588,3.05,0.5988107763674675
hub_589,3.15,0.8410761095110549
hub_590,3.65,0.5710818723107283
hub_5903,3.7,0.5512505235995833
hub_591,3.55,0.3061842461078693
hub_593,3.5,0.6828901894665638
hub_594,3.9,0.6089865499917514
hub_596,3.9,0.6894668651639243
hub_597,3.25,0.699331235353083
hub_598,3.8,0.3197457922908996
hub_599,3.8,0.469038091834566
hub_601,3.7,0.6247691344373161
hub_602,3.5,0.5451847470810451
hub_603,3.95,0.6032799704221811
hub_604,3.4,0.5805651911227956
hub_605,3.15,0.3798092609612196
hub_606,3.65,0.7632685139731368
hub_607,3.15,0.145788225763803
hub_608,3.9,0.2423949242893806
hub_609,3.25,0.2371068694494735
hub_610,3.6,0.5942618830177933
hub_611,3.65,0.5247617240614812
hub_612,3.35,0.5516814863945526
hub_613,3.55,0.7918044068794317
hub_614,3.65,0.8056942922780825
hub_6148,3.75,0.1717021575311717
hub_622,3.15,0.3968326793932818
hub_623,3.7,0.4291665695326288
hub_624,3.4,0.4713269749903889
hub_625,3.55,0.5395202244282986
hub_626,3.5,0.6885197244954178
hub_631,3.2,0.1879989658312711
hub_707,3.4,0.6860379121383371
hub_708,4.3,0.1765468342182751
hub_709,3.55,0.4318417497841703
hub_712,3.2,0.6493764774630761
hub_778,3.1,0.6306938333300262
hub_779,3.85,0.370103444366426
hub_780,3.1,0.1549651950586517
hub_802,3.25,0.1017960766585743
hub_830,3.1,0.8662267942416249
hub_866,3.25,0.1405992229377978
hub_867,3.55,0.0929822806852208
hub_894,3.75,0.6260866717817576
hub_903,3.55,0.1678832183624819
hub_904,3.75,0.2172842089050009
hub_905,3.25,0.5344085572866606
hub_921,2.8,0.7684172783145868
hub_924,3.7,0.1490420013520783
hub_945,3.85,0.6268156027123966
hub_959,3.8,0.4557899773316873
hub_960,3.65,0.7244659239998832
