Station ID,Average Rating
hub_1042,3.4
hub_1063,3.55
hub_1252,3.0
hub_1253,3.75
hub_1287,4.05
hub_1397,3.7
hub_1468,3.4
hub_2570,3.9
hub_2868,3.95
hub_2869,2.55
hub_2915,3.75
hub_2916,3.75
hub_2917,3.65
hub_2918,3.35
hub_2919,3.2
hub_2920,3.7
hub_2921,3.65
hub_2922,3.65
hub_2923,3.55
hub_2924,3.45
hub_2925,4.3
hub_2926,3.55
hub_3885,3.55
hub_4093,4.1
hub_435,3.1
hub_436,3.9
hub_527,3.9
hub_530,2.55
hub_5333,3.6
hub_535,2.35
hub_536,2.55
hub_537,2.8
hub_538,3.0
hub_539,3.25
hub_540,3.3
hub_5402,4.4
hub_541,4.2
hub_542,4.3
hub_5426,4.25
hub_543,4.2
hub_544,3.65
hub_545,2.95
hub_546,3.0
hub_547,3.8
hub_548,2.95
hub_549,4.25
hub_550,3.75
hub_551,3.5
hub_552,3.65
hub_553,3.35
hub_554,2.8
hub_555,3.15
hub_556,3.75
hub_557,3.85
hub_558,3.8
hub_559,2.95
hub_560,2.85
hub_562,3.85
hub_563,4.05
hub_564,3.55
hub_565,3.8
hub_566,3.7
hub_567,3.8
hub_568,4.0
hub_569,3.45
hub_570,3.5
hub_5702,3.85
hub_571,3.55
hub_572,3.75
hub_573,3.75
hub_574,4.05
hub_575,3.45
hub_576,3.05
hub_577,3.6
hub_578,3.75
hub_579,3.8
hub_5790,3.75
hub_580,3.1
hub_581,3.6
hub_582,3.8
hub_5827,2.95
hub_583,3.7
hub_5836,3.75
hub_5837,3.5
hub_5838,3.45
hub_5845,2.6
hub_5846,3.8
hub_585,3.6
hub_586,3.75
hub_587,2.8
hub_588,3.05
hub_5883,3.65
hub_589,3.15
hub_590,3.65
hub_5903,3.7
hub_591,3.55
hub_593,3.5
hub_594,3.9
hub_596,3.9
hub_597,3.25
hub_598,3.8
hub_599,3.8
hub_601,3.7
hub_602,3.5
hub_603,3.95
hub_604,3.4
hub_605,3.15
hub_606,3.65
hub_607,3.15
hub_608,3.9
hub_609,3.25
hub_610,3.6
hub_611,3.65
hub_612,3.35
hub_613,3.55
hub_614,3.65
hub_6148,3.75
hub_622,3.15
hub_623,3.7
hub_624,3.4
hub_625,3.55
hub_626,3.5
hub_631,3.2
hub_707,3.4
hub_708,4.3
hub_709,3.55
hub_712,3.2
hub_765,3.35
hub_778,3.1
hub_779,3.85
hub_780,3.1
hub_802,3.25
hub_830,3.1
hub_866,3.25
hub_867,3.55
hub_894,3.75
hub_903,3.55
hub_904,3.75
hub_905,3.25
hub_921,2.8
hub_924,3.7
hub_945,3.85
hub_959,3.8
hub_960,3.65
